"Entrada do Processo","Expediçao da Outorga","Expiração da Outorga","Situação da Outorga","Vazão Horária  (m³/h)","Volume Anual (m³)","Manancial","Latitude","Longitude","Tipo de Uso","Município ","Bacia Hidrográfica","Açude Monitorados"
"15/05/2000","26/05/2000","40324","Vencido","17.3","151110","Açude","-7,08805555555556","-37,6536111111111","Abastecimento Urbano","Catingueira","Piancó","Cachoeira dos Cegos"
"15/05/2000","26/05/2000","40324","Vencido","86.5","757652.4","Açude","-7,16388888888889","-36,7583333333333","Abastecimento Urbano","Taperoá","Taperoá","Lagoa do Meio"
"15/05/2000","26/05/2000","40324","Vencido","23.3","204129.9","Açude","-6,75277777777778","-37,0072222222222","Abastecimento Urbano","Várzea","Seridó","Várzea"
"26/05/2000","26/05/2000","40324","Vencido","38.2","334675.8","Açude","-7,16472222222222","-37,4136111111111","Abastecimento Urbano","Mãe D`Água","Espinharas","Capoeira"
"15/05/2000","26/05/2000","40324","Vencido","85.59999999999999","750228.3","Açude","-6,90833333333333","-37,5886111111111","Abastecimento Urbano","Condado","Região do Médio Curso do Rio Piranhas","Engenheiro Arcoverde"
"15/05/2000","26/05/2000","40324","Vencido","300","2628","Açude","-7,06194444444444","-37,2725","Abastecimento Urbano","Patos","Espinharas","Jatobá I"
"15/05/2000","26/05/2000","40324","Vencido","82.40000000000001","721780.2","Açude","-7,20861111111111","-36,8408333333333","Abastecimento Urbano","Taperoá","Taperoá","Taperoá II (Manoel Marcionilo)"
"15/05/2000","26/05/2000","40324","Vencido","39.7","347618.7","Açude","-7,39222222222222","-37,9680555555556","Abastecimento Urbano","Santana dos Garrotes","Piancó","Queimadas"
"15/05/2000","26/05/2000","40324","Vencido","55.6","486968.4","Açude","-6,93083333333333","-37,0722222222222","Abastecimento Urbano","São Mamede","Seridó","São Mamede"
"15/05/2000","26/05/2000","40324","Vencido","134.2","1175964.3","Açude","-6,87444444444444","-36,9238888888889","Abastecimento Urbano","Santa Luzia","Seridó","Santa Luzia"
