PERIM,AREA_M2,HECTARES,GEOCODIGO,RESERVAT,NOME,BACIA,TIPO_RESER,CAP_HM3,MUNICIPIO,ESTADO
5589.32,639956.23,64,12370,Açude Riacho da Cruz II,Riacho da Cruz II,Apodi/Mossoró,Artificial,9.6,Riacho da Cruz,Rio Grande do Norte
18641.49,2511435.62,251.14,12310,Açude Passagem,Passagem,Apodi/Mossoró,Artificial,8.27,Rodolfo Fernandes,Rio Grande do Norte
6322.81,512896.49,51.29,12175,Açude Estreito,Estreito,Canindé,Artificial,23.89,Belém do Piauí/Padre Marcos,Piauí
20533.23,3490125.13,349.01,12044,Açude Barreiras,Barreiras,Canindé,Artificial,52.8,Fronteiras,Piauí
56292.92,8222671.28,822.27,12341,Açude Poço da Pedra,Poço da Pedra,Alto Jaguaribe,Artificial,52,Campos Sales,Ceará
32536.46,4044126.74,404.41,12088,Açude Cajazeiras II,Cajazeiras,Canindé,Artificial,24.7,Pio IX,Piauí
55955.97,9255207.73,925.52,12058,Açude Bocaina,Bocaina,Canindé,Artificial,106,Bocaina/São Luis do Piaui,Piauí
147422.41,18387500.4,1838.75,12388,Açude Saco II,Saco II,Gar?as,Artificial,123.52,Santa Maria da Boa Vista/Lagoa Grande/Santa Cruz,Pernambuco
191980.94,38693848.7,3869.38,12171,Açude Entremontes,Entremontes,Brígida,Artificial,339.33,Parnamirim/Ouricuri,Pernambuco
26248.79,4151009.03,415.1,12076,Açude Cachimbo,Cachimbo,Brígida,Artificial,31.21,Parnamirim,Pernambuco
25812.75,5576350.9,557.64,12167,Açude Engenheiro Camacho (ex Tamboril II),Engenheiro Camacho (Tamboril II),Brígida,Artificial,27.67,Ouricuri,Pernambuco
60196.56,11680317.59,1168.03,12016,Açude Algodões,Algodões,Brígida,Artificial,54.48,Ouricuri,Pernambuco
11730.22,1931879.91,193.19,12256,Açude Lopes II,Lopes II,Brígida,Artificial,23.94,Bodocó/Ouricuri,Pernambuco
19350.05,4417478.15,441.75,12247,Açude Lagoa do Barro,Lagoa do Barro,Brígida,Artificial,22.95,Araripina,Pernambuco
2272.54,204155.06,20.42,12366,Açude Rancharia,Rancharia,Brígida,Artificial,1.04,Araripina,Pernambuco
5209.73,502035.12,50.2,12031,Açude Araripina (ex Baixio),Araripina (Baixio),Brígida,Artificial,3.7,Araripina,Pernambuco
31029.57,4229260.73,422.93,12291,Açude Nilo Coelho,Nilo Coelho,Terra Nova,Artificial,22.71,Terra Nova/Cabrobo,Pernambuco
4038.51,402122.1,40.21,12242,Açude Juá,Juá,Terra Nova,Artificial,3.5,Mirandiba,Pernambuco
41058.45,2822073.9,282.21,12056,Açude Boa Vista,Boa Vista,Terra Nova,Artificial,16.45,Verdejante/Salgueiro,Pernambuco
28892.86,2341956.69,234.2,12002,Açude Abóboras,Abóboras,Terra Nova,Artificial,14.35,Parnamirim/Terra Nova/Serrita,Pernambuco
7510.11,578448.06,57.84,1927,Açude Parnamirim,Parnamirim,Brígida,Artificial,5.72,Parnamirim,Pernambuco
7199.09,485992.41,48.6,12390,Açude Salgueiro,Salgueiro,Terra Nova,Artificial,14.7,Verdejante,Pernambuco
5690.69,420175.67,42.02,1931,Açude Salgueiro,Boa Vista (Salgueiro),TerraNova,Artificial,16.45,Salgueiro,Pernambuco
16608.35,3545292.05,354.53,12496,Açude Arrodeio,Arrodeio,Pajé,Artificial,14.52,São José do Belmonte,Pernambuco
185937.25,26940355.55,2694.04,12122,Açude Chapéu,Chapéu,Brígida,Artificial,188,Parnamirim/Serrita,Pernambuco
35621.8,3495044.32,349.5,12181,Açude Favelas,Favelas,Alto Jaguaribe,Artificial,30.1,Tauá,Ceará
5395.62,358035.29,35.8,12045,Açude Barrinha,Barrinha,Brígida,Artificial,1.96,Cedro/Serrita,Pernambuco
45093.97,3853986.63,385.4,12289,Açude Muquém,Muquém,Alto Jaguaribe,Artificial,47.64,Cariús,Ceará
27657.4,2355457.54,235.55,12052,Açude Benguê,Benguê,Alto Jaguaribe,Artificial,19.56,Aiuaba,Ceará
112658.38,16775823.5,1677.58,12471,Açude Trussu (Roberto Costa),Trussu,Alto Jaguaribe,Artificial,301,Iguatu/Acopiara/Jucus,Ceará
24088.15,1648529.6,164.85,12380,Açude Rivaldo de Carvalho,Rivaldo de Carvalho,Alto Jaguaribe,Artificial,19.52,Catarina,Ceará
38216.81,4761792.02,476.18,12033,Açude Arneiroz II,Arneiroz II,Alto Jaguaribe,Artificial,197.06,Arneiroz,Ceará
24262.92,1869703.52,186.97,12177,Açude Faé,Faé,Alto Jaguaribe,Artificial,19,Quixelô,Ceará
6708.33,336932.06,33.69,12363,Açude Quincoé,Quincoé,Alto Jaguaribe,Artificial,4.33,Acopiara,Ceará
15199.58,1972425.27,197.24,12282,Açude Morcego,Morcego,Apodi/Mossoró,Artificial,6.71,Augusto Severo,Rio Grande do Norte
14580.03,2246165.29,224.62,12265,Açude Malhada Vermelha,Malhada Vermelha,Apodi/Mossoró,Artificial,7.54,Severiano Melo,Rio Grande do Norte
9092.09,1012378.3,101.24,12146,Açude Currais (do Angico Velho),Currais,Apodi/Mossoró,Artificial,4.02,Severiano Melo/Itau,Rio Grande do Norte
5372.89,938208.93,93.82,12444,Açude Sossego,Sossego,Apodi/Mossoró,Artificial,2.33,Rodolfo Fernandes,Rio Grande do Norte
116564.61,22734862.28,2273.49,12476,Barragem Umari,Umari,Apodi/Mossoró,Artificial,292.81,Upanema/Augusto Severo,Rio Grande do Norte
121561.66,32060596.76,3206.06,12392,Açude Santa Cruz do Apodi,Santa Cruz do Apodi,Apodi/Mossoró,Artificial,599.71,Apodi,Rio Grande do Norte
14500.92,1890739.18,189.07,12355,Açude Potiretama,Potiretama,Médio Jaguaribe,Artificial,6.33,Potiretama,Ceará
21068.23,5928537.21,592.85,2067,Açude do Apanha Peixe,Apanha Peixe,Apodi/Mossoró,Artificial,10,Caraúbas,Rio Grande do Norte
28843.37,2640692.49,264.07,12459,Açude Thomas Osterne (Umari),Umari,Salgado,Artificial,28.78,Crato,Ceará
47012.47,4887165.55,488.72,12098,Açude Canoas,Canoas,Alto Jaguaribe,Artificial,69.25,Assaré,Ceará
14597.63,1469248.63,146.92,12297,Açude Olho d'água,Olho d'água,Salgado,Artificial,21,Várzea Alegre,Ceará
4555.99,237166.65,23.72,12153,Açude do Coronel,Do Coronel,Alto Jaguaribe,Artificial,1.77,Saboeiro,Ceará
24655.41,1884501.42,188.45,12395,Açude Santa Inês,Santa Inês,Piancó,Artificial,26.12,Santa Inês,Paraíba
48468.2,4281157.78,428.12,12036,Açude Atalho,Atalho,Salgado,Artificial,108.25,Jati/Brejo Santo,Ceará
10314.08,1126504.81,112.65,12430,Açude Serra Vermelha I,Serra Vermelha I,Piancó,Artificial,11.8,Conceição,Paraíba
19039.43,2330389.44,233.04,12133,Açude Condado,Condado,Piancó,Artificial,35.02,Conceição,Paraíba
15368.94,1297911.74,129.79,12364,Açude Quixabinha,Quixabinha,Salgado,Artificial,31.78,Mauriti,Ceará
3580.45,215687.07,21.57,12202,Açude Gomes,Gomes,Salgado,Artificial,2.39,Mauriti,Ceará
17620.81,1355453.29,135.55,12046,Açude São Bartolomeu I,Bartolomeu I,Alto Piranhas,Artificial,17.57,Bonito de Santa Fé,Paraíba
8084.97,589659.68,58.97,12413,Açude São José,São José I,Alto Piranhas,Artificial,3.05,São José de Piranhas,Paraíba
31413.06,2082321.59,208.23,12358,Açude Prazeres,Prazeres,Salgado,Artificial,32.5,Barro,Ceará
24418.19,1863525.94,186.35,12268,Açude Manoel Balbino (Riacho dos Carneiros),Manoel Balbino,Salgado,Artificial,37.18,Caririaçu,Ceará
121784.28,18607772.81,1860.78,12166,Açude Engenheiro Ávidos (Piranhas),Engenheiro ávidos,Alto Piranhas,Artificial,255,São José de Piranhas,Paraíba
38409.06,3254400.89,325.44,12077,Açude Cachoeira,Cachoeira,Salgado,Artificial,34.33,Aurora,Ceará
3915.78,231536.35,23.15,12407,Açude São Domingos II,São Domingos II,Salgado,Artificial,2.25,Cariria?u,Ceará
47743.73,5313255.31,531.33,12384,Açude Rosário,Rosário,Salgado,Artificial,47.2,Lavras da Mangabeira,Ceará
3647.31,442846.49,44.28,12244,Açude Junco,Junco,Salgado,Artificial,2.03,Granjeiro,Ceará
54234.73,7380225.21,738.02,12246,Açude Lagoa do Arroz,Lagoa do Arroz,Peixe,Artificial,80.22,Cajazeiras/Bom Jesus,Paraíba
6723.03,551088.6,55.11,12124,Açude Chupadouro,Chupadouro i,Peixe,Artificial,2.76,São João Rio Peixe,Paraíba
12823.78,4897343.86,489.73,12330,Açude Pilões,Pilões,Peixe,Artificial,13,São João Rio Peixe/Triunfo,Paraíba
32977.22,6236851.43,623.69,12474,Açude Ubaldinho,Ubaldinho,Salgado,Artificial,31.8,Várzea Alegre,Ceará
20885.91,1625916.75,162.59,12308,Açude Parambu,Parambu,Alto Jaguaribe,Artificial,8.53,Parambu,Ceará
15093.33,1291631.31,129.16,12073,Açude Brocó,Brocó,Alto Jaguaribe,Artificial,17.5,Tauá,Ceará
10312.76,932767.72,93.28,12035,Açude Arrojado,Arrojado,Peixe,Artificial,3.6,Uirauna,Paraíba
8424.43,521802.1,52.18,12454,Açude Tatajuba,Tatajuba,Salgado,Artificial,2.72,Icó,Ceará
47891.5,11857007.39,1185.7,12254,Açude Lima Campos,Lima Campos,Salgado,Artificial,66.38,Icó/Orós,Ceará
16306.78,2066532.87,206.65,12183,Açude Flechas,Flechas,Apodi/Mossoró,Artificial,8.95,José da Penha,Rio Grande do Norte
9232.81,1343402.23,134.34,2217,Açude Santana (Gangorra),Santana,Apodi/Mossoró,Artificial,7,Rafael Fernandes/Riacho de Santana,Rio Grande do Norte
20108.51,1891610.02,189.16,12064,Açude do Bonito,Bonito II,Apodi/Mossoró,Artificial,10.87,São Miguel,Rio Grande do Norte
2932.86,274659.79,27.47,12260,Açude Madeiro,Madeiro,Médio Jaguaribe,Artificial,2.81,Pereiro,Ceará
526202.05,192705253.71,19270.53,12299,Açude Orós (Presidente Juscelino Kubitschek de Oliveira) (PCH Orós),Orós,Alto Jaguaribe,Artificial,1940,Orós/Quixele/Iguatu,Ceará
6691.11,825167.37,82.52,12001,Açude Vinte e Cinco de Março,25 de Março,Apodi/Mossoró,Artificial,4.72,Pau dos Ferros,Rio Grande do Norte
11383.92,1124968.02,112.5,12163,Açude Encanto,Encanto,Apodi/Mossoró,Artificial,5.19,Encanto,Rio Grande do Norte
15316.67,3168030.69,316.8,12397,Açude Santa Maria,Santa Maria,Médio Jaguaribe,Artificial,5.87,Ererê,Ceará
6764.99,572395.35,57.24,12006,Açude Pereiro (Adauto Bezerra),Adauto Bezerra,Médio Jaguaribe,Artificial,5.25,Pereiro,Ceará
31068.87,4852554.29,485.26,12240,Açude Joaquim T?vora (Feiticeiro),Joaquim Távora,Médio Jaguaribe,Artificial,26.77,Jaguaribe,Ceará
13534.02,1606247.52,160.62,12293,Açude Nova Floresta,Nova Floresta,Médio Jaguaribe,Artificial,5.19,Jaguaribe/Solonopole,Ceará
57125.48,11680638.63,1168.06,12483,Açude Várzea do Boi,Várzea do Boi,Alto Jaguaribe,Artificial,51.91,Tauá,Ceará
20948.74,2877716.68,287.77,12470,Açude Trici,Trici,Alto Jaguaribe,Artificial,16.5,Tauá,Ceará
9799.02,1092613.66,109.26,12132,Açude Colina,Colina,Parnaíba-CE,Artificial,3.25,Quiterianópolis,Ceará
6651.19,557048.97,55.7,12188,Açude Forquilha II,Forquilha II,Alto Jaguaribe,Artificial,3.4,Tauá,Ceará
66296.25,15310765.15,1531.08,12184,Açude Flor do Campo (Novo Oriente),Flor do Campo,Parnaíba-CE,Artificial,105,Novo Oriente,Ceará
75037.15,15808338.09,1580.83,12220,Açude Jaburu II,Jaburu II,Parnaíba-CE,Artificial,116,Independência,Ceará
9877.55,1650787.74,165.08,12142,Açude Cupim,Cupim,Parnaíba-CE,Artificial,4.55,Independência,Ceará
78470.86,17924731.26,1792.47,12043,Açude Barra Velha,Barra Velha,Parnaíba-CE,Artificial,99.5,Independência,Ceará
39160.54,10480875.4,1048.09,12109,Açude Carnaubal,Carnaubal,Parnaíba-CE,Artificial,87.69,Crateús,Ceará
25840.77,4421959.24,442.2,12367,Açude Realejo,Realejo,Parnaíba-CE,Artificial,31.55,Crateús,Ceará
12801.57,805280.22,80.53,12460,Açude Tigre,Tigre,Médio Jaguaribe,Artificial,3.51,Solonópole,Ceará
23035.39,2078689.21,207.87,12230,Açude Jenipapeiro,Jenipapeiro,Médio Jaguaribe,Artificial,17,Deputado Irapuan Pinheiro,Ceará
28937,1954883.66,195.49,12415,Açude São José II,São José II,Banabuiú,Artificial,29.14,Piquet Carneiro,Ceará
64966.61,5319956.36,532,12427,Açude Serafim Dias,Serafim Dias,Banabuiú,Artificial,43,Mombaça,Ceará
51666.87,5685654.4,568.57,12314,Açude do Patu,Patu,Banabuiú,Artificial,71.83,Senador Pompeu,Ceará
21286.04,1806617.8,180.66,12465,Açude Trapiá II,Trapiá II,Banabuiú,Artificial,18.19,Pedra Branca,Ceará
17281.75,2136764.61,213.68,12365,Açude Quixeramobim,Quixeramobim,Banabuiú,Artificial,54,Quixeramobim,Ceará
6711.49,627374.45,62.74,12412,Açude São José I,São José I,Banabuiú,Artificial,7.67,Boa Viagem,Ceará
30011.22,2955405.04,295.54,12489,Açude Vieirão,Vieirão,Banabuiú,Artificial,20.96,Boa Viagem,Ceará
108157.66,17204132.66,1720.41,12186,Açude Antônio Ferreira Antero (Fogareiro),Fogareiro,Banabuiú,Artificial,118.82,Quixeramobim/Boa Viagem,Ceará
339775.29,79567908.34,7956.79,12039,Açude Arrojado Lisboa (Banabuiu) (PCH Banabuiu),Banabuiu,Banabuiú,Artificial,1601,Banabuiú/Quixeramobim,Ceará
12312.16,3117820.74,311.78,12096,Açude Canafístula,Canafístula,Médio Jaguaribe,Artificial,13.11,Iracema/Ererê,Ceará
16710.62,2301780.89,230.18,12160,Açude da Ema,Ema,Médio Jaguaribe,Artificial,10.39,Iracema,Ceará
56682.44,7829312.58,782.93,12343,Açude Poço do Barro,Poço do Barro,Banabuiú,Artificial,52,Morada Nova,Ceará
21766.88,3364249.35,336.42,12148,Açude do Curral Velho,Curral Velho,Banabuiú,Artificial,12.17,Morada Nova,Ceará
756625.62,326207543.13,32620.75,12112,Açude Castanhão,Castanhão,Médio Jaguaribe,Artificial,6700,Jaguaribara/Alto Santo/Jaguaretama,Ceará
38875.29,8744843.92,874.48,12126,Açude Cipoada,Cipoada,Banabuiú,Artificial,86.09,Morada Nova,Ceará
194615.24,39606934.23,3960.69,12323,Açude Vinicius Barreto (ex Pedra Branca),Pedras Brancas,Banabuiú,Artificial,434.04,Quixadá,Ceará
59476.16,7759726.32,775.97,12375,Açude Riacho do Sangue,Riacho do Sangue,Médio Jaguaribe,Artificial,61.42,Solonópole,Ceará
3242.32,365398.16,36.54,12315,Açude Pau Branco,Pau Branco,Pontal,Artificial,3,Afrânio,Pernambuco
37076.96,5082438.08,508.24,12209,Açude Ingazeiras,Ingazeiras,Canindé,Artificial,25.72,Paulistana,Piauí
145759.33,20954799.38,2095.48,12321,Açude Pedra Redonda,Pedra Redonda,Canindé,Artificial,216,São Francisco de Assis do Piauí/Jacobina do Piauí/Paulistana,Piauí
3557.68,513404.51,51.34,2766,Açude Poço do Marruá,Poço do Marruá,Canindé,Artificial,348,Patos do Piauí,Piauí
38463.15,6817982.51,681.8,12334,Açude Pirabibu,Pirabibu,Banabuiú,Artificial,74,Madalena/Quixeramobim,Ceará
9135.62,684406.63,68.44,12063,Açude Bonito,Bonito,Acaraú,Artificial,6,Ipu,Ceará
20178.8,2887233.15,288.72,12105,Açude Carão,Carão,Acaraú,Artificial,26.23,Tamboril,Ceará
10680.18,1670057.74,167.01,12446,Açude Sucesso,Sucesso,Parnaíba-CE,Artificial,10,Tamboril,Ceará
39830.22,5370080.79,537.01,12403,Açude Santo Antônio do Aracatiaçu,Santo Antônio do Aracatiaçu,Litoral,Artificial,24.34,Sobral/Iraçuba,Ceará
155989.14,24903723.87,2490.37,12197,Açude General Sampaio,General Sampaio,Curu,Artificial,322.2,General Sampaio/Paramoti,Ceará
29060.84,5974737.41,597.47,12404,Açude Santo Antônio de Russas,Santo Antônio de Russas,Baixo Jaguaribe,Artificial,24,Russas,Ceará
39584.28,7064961.17,706.5,12264,Açude Malcozinhado,Malcozinhado,Metropolitana,Artificial,37.84,Cascavel,Ceará
11488.28,1304635.84,130.46,12301,Açude Pacajus,Pacajus,Metropolitana,Artificial,240,Pacajus,Ceará
14700.35,2601315.49,260.13,12048,Açude Batente,Batente,Metropolitana,Artificial,33.51,Ocara/Morada Nova,Ceará
96763.32,26675031.01,2667.5,12302,Açude Pacoti,Pacoti,Metropolitana,Artificial,380,Horizonte/Itaitinga,Ceará
72834.03,16781171.41,1678.12,12027,Açude Araçoiaba,Araçoiaba,Metropolitana,Artificial,170.7,Aracoiaba/Redenção,Ceará
18379.32,2041647.93,204.16,12003,Açude Acarape do Meio (Eugênio Gudin),Acarape do Meio,Metropolitana,Artificial,29.59,Redenção,Ceará
42604.7,6179106.06,617.91,12113,Açude Castro,Castro,Metropolitana,Artificial,63.9,Itapiúna,Ceará
71048.33,8962166.4,896.22,12352,Açude Pompeu Sobrinho (Choró Lim?o),Pompeu Sobrinho,Metropolitana,Artificial,143,Choró,Ceará
43936.65,0,732.5,12118,Açude Cedro,Cedro,Banabuiú,Artificial,126,Quixadá,Ceará
7068.79,0,51.99,12405,Açude São Domingos,São Domingos,Curu,Artificial,3.2,Caridade,Ceará
11062.85,0,70.59,12421,Açude São Mateus,São Mateus,Curu,Artificial,10.33,Canindé,Ceará
18196.55,0,150.14,12445,Açude Sousa,Sousa,Curu,Artificial,30.84,Canindé,Ceará
11597.99,0,88.21,12389,Açude Salão,Salão,Curu,Artificial,6.04,Canindé,Ceará
5592.41,0,42.68,12324,Açude Penedo,Penedo,Metropolitana,Artificial,2.41,Maranguape,Ceará
14492.82,0,204.11,12019,Açude Amanary (ex Pocinhos),Amanary,Metropolitana,Artificial,11.01,Maranguape,Ceará
15590.28,0,292.1,12116,Açude Cauhípe,Cauhípe,Metropolitana,Artificial,12,Caucaia,Ceará
70070.46,0,1842.25,12440,Açude Sítios Novos,Sítios Novos,Metropolitana,Artificial,126,Pentecoste/Caucaia,Ceará
10399.94,0,112.09,12151,Açude Desterro,Desterro,Curu,Artificial,5.01,Caridade,Ceará
175853.98,0,3764.37,12325,Açude Pereira de Miranda (Pentecoste),Pentecoste,Curu,Artificial,360,Pentecoste/Apuiarus,Ceará
32580.27,0,360.13,12190,Açude Frios,Frios,Curu,Artificial,33.02,Umirim,Ceará
40951.75,0,872.38,12023,Açude Angicos,Angicos,Corea?,Artificial,56.05,Frecheirinha/Coreau,Ceará
13812.28,0,184.75,12418,Açude São José III,São José III,Parnaíba-CE,Artificial,7.96,Ipaporanga,Ceará
79717.47,0,1769.77,12117,Açude Caxitoré,Caxitoré,Curu,Artificial,202,Umirim/Pentecoste,Ceará
6558.71,0,105.85,12287,Açude Mundaú,Mundaú,Litoral,Artificial,21.3,Uruburetama,Ceará
33170.6,0,276.84,12457,Açude Tejuçuoca,Tejuçuoca,Curu,Artificial,28.11,Tejuçuoca,Ceará
113660.13,0,2190.69,12159,Açude Edson Queiroz (Serrote),Edson Queiroz,Acaraú,Artificial,254,Santa Quitéria,Ceará
15822.65,0,146.86,12281,Açude Monsenhor Tabosa,Monsenhor Tabosa,Banabuiú,Artificial,12.1,Monsenhor Tabosa,Ceará
17475.47,0,207.62,12107,Açude Carmina,Carmina,Acaraú,Artificial,13.63,Catunda,Ceará
351654.57,0,6810.87,12030,PCH Açude Araras (Paulo Sarasate),Araras,Acaraú,Artificial,891,Varjota/Pires Ferreira/Hidrolândia/Santa Quitéria,Ceará
19347.08,0,148.61,12178,Açude Farias de Souza,Farias de Souza,Acaraú,Artificial,12.23,Nova Russas,Ceará
11943.14,0,320.27,12348,Açude Poço Verde,Poço Verde,Litoral,Artificial,13.65,Itapipoca,Ceará
28142,0,261.5,12235,Açude Jerimum,Jerimum,Curu,Artificial,20.5,Tejuçuoca/Irauçuba,Ceará
14763.01,0,293.58,12423,Açude Sao Pedro da Timbaúba,São Pedro da Timbaúba,Litoral,Artificial,19.25,Miraima/Sobral,Ceará
12739.73,0,141.32,12313,Açude Patos,Patos,Litoral,Artificial,7.55,Sobral,Ceará
16433.96,0,171.59,12198,Açude Atimbone,Atimbone,Litoral,Artificial,4,Sobral,Ceará
17507.44,0,232.73,12398,Açude Santa Maria do Aracatiaçu,Santa Maria do Aracatiaçu,Litoral,Artificial,8.2,Sobral,Ceará
24639.12,0,240.78,12034,Açude Arrebita,Arrebita,Acaraú,Artificial,19.6,Forquilha,Ceará
42297.3,0,795.96,12187,Açude Forquilha,Forquilha,Acaraú,Artificial,50.13,Forquilha,Ceará
34179.64,0,643.62,12004,Açude Acaraú-Mirim,Acaraú-Mirim,Acaraú,Artificial,52,Massapê,Ceará
20855.93,0,153.25,12426,Açude São Vicente,São  Vicente,Acaraú,Artificial,9.84,Santana do Acaraú,Ceará
6449.94,0,72.12,12441,Açude Sobral (Cachoeira),Sobral,Acaraú,Artificial,4.68,Sobral,Ceará
67455.99,0,1241.47,12037,Açude Ayres de Souza (Jaibara),Ayres de Souza,Acaraú,Artificial,96.8,Sobral,Ceará
4907.19,0,79.04,12237,Açude Joana,Joana,Poti,Artificial,10.67,Pedro II,Piauí
41058.21,0,1040.6,12219,Açude Jaburu I,Jaburu I,Parnaíba-CE,Artificial,136.76,Ubajara/Tiangua,Ceará
9020.52,0,81.63,12466,Açude Trapiá,Trapiá,Corea?,Artificial,5.51,Coreaú,Ceará
15503.93,0,268.96,12152,Açude Diamante,Diamante,Corea?,Artificial,13.2,Coreaú,Ceará
127700.38,0,3538.2,12054,Barragem Bico da Pedra,Barragem Bico da Pedra,Gorotuba,Artificial,750,Porteirinha/Janaúba,Minas Gerais
8550.16,0,99.36,12121,Açude Champrão,Champrão,Rio de Contas,Artificial,5.98,Condeúba,Bahia
46117.95,0,1219.94,12136,Barragem Cova da Mandioca,Cova da Mandioca,São Francisco,Artificial,126,Urandi,Bahia
35044.45,0,388.48,12472,Açude Truvisco,Truvisco,Rio de Contas,Artificial,39,Licenio de Almeida/Caculé,Bahia
14345.95,0,356.16,12119,Açude Ceraíma,Ceraíma,São Francisco,Artificial,58,Guanambi,Bahia
13850.14,0,175.68,12344,Barragem Poço do Magro,Poço do Magro,São Francisco,Artificial,32,Guanambi,Bahia
21608.33,0,329.28,12374,Açude Riacho do Paulo,Riacho do Paulo,Rio de Contas,Artificial,53.8,Livramento de Nossa Senhora,Bahia
35955.41,0,774.83,12258,Açude Engenheiro Luís Vieira (ex Brumado),Luís Vieira (Brumado),Rio de Contas,Artificial,105,Rio de Contas,Bahia
21520.73,0,446.06,12491,Barragem do Zabumbão,Zabumbão,Paramirim,Artificial,60.85,Paramirim,Bahia
29406.09,0,616.82,12279,Barragem de Mirorós,Mirorós (Manoel Novais),São Francisco,Artificial,158,Ibipeba/Gentio do Ouro,Bahia
97440.99,0,1174.28,12233,Açude Jenipapo,Jenipapo,Canindé,Artificial,248,São João do Piauí/Capitão Gervásio Oliveira,Piauí
19056.37,0,177,12292,Barragem do Oiti,Nonato,Canindé,Artificial,9.02,Dom Inocêncio,Piauí
4723.99,0,21.59,12266,Açude Dirceu Arcoverde,Malhadinha,Canindé,Artificial,2.08,Dirceu Arcoverde,Piauí
177587.37,0,2160.86,12327,Açude Petrônio Portela,Petrônio Portela,Canindé,Artificial,181.25,São Raimundo Nonato,Piauí
9325.94,0,79.71,12012,Açude Aldeia (Tanque),Aldeia,Canindé,Artificial,7.24,São Raimundo Nonato,Piauí
12491.83,0,64.64,12062,Açude Bonfim,Bonfim,Canindé,Artificial,3.82,Bonfim do Piauí,Piauí
18454.32,0,510.68,12350,Barragem Poços,Poços,Canindé,Artificial,0.91,Rio Grande do Piauí/Itaueira,Piauí
54583.44,0,1355.05,12391,Açude Salinas,Salinas,Canindé,Artificial,387.41,São Francisco do Piau?,Piauí
37227.07,0,575.21,12018,Açude Algodões II,Algodões II,Gurgueia,Artificial,247,Curimatá,Piauí
93259.4,0,1614.36,12005,Açude Argemiro de Figueiredo (Acauã),Acauã,Médio Paraíba,Artificial,253,Itatuba/Natuba,Paraíba
121375.66,0,3583.57,21662,Açude Piracuruca,Piracuruca,Longá,Artificial,250,Piracuruca,Piauí
235450.72,0,4375.42,12261,Açude Mãe d'água (Engenheiro Egberto da Cunha),Mãe d'água,Piancó,Artificial,568,Coremas/Aguiar/Igaracy,Paraíba
47065.36,0,375.38,12328,Açude Piaus,Piaus,Canindé,Artificial,104.51,São Julião,Piauí
10798.76,0,148.91,12217,Açude Itapebussu,Itapebussu,Metropolitana,Artificial,6.3,Maranguape,Ceará
26379.83,0,318.37,12100,Açude Capivara,Capivara,Peixe,Artificial,37.55,Uirauna/Santarém,Paraíba
11261.28,0,61.89,12275,Açude Sindô Ribeiro,Sindô Ribeiro,Mamanguape,Artificial,0.6,Massaranduba,Paraíba
7363.3,0,31.37,12360,Açude Quandu,Quandu,Litoral,,4,Itapipoca,Ceará
6254.06,0,43.26,12300,Açude Ouro Velho,Ouro Velho,Alto Paraíba,,1.68,Ouro Velho,Paraíba
2330.45,0,23.45,12009,Açude Aipim,Aipim,Itapicuru,,2.28,Antonio Gonçalves/Pindobaçu,Bahia
4350.23,0,29.69,12442,Açude Sohen,Sohen,Itapicuru,,14.46,Senhor Bonfim,Bahia
5165.64,0,37.45,12014,Açude Algodão,Algodão,Curimataú,,1.03,Algodão de Jandaíra,Paraíba
3118.46,0,12.89,12059,Açude Bom Jesus,Bom Jesus,Alto Piranhas,,0.34,São José de Piranhas,Paraíba
6920.88,0,91.29,12081,Açude Cachoeira Grande,Cachoeira Grande,Itapicuru,,5.42,Jacobina,Bahia
1125.72,0,4.47,12086,Açude Cafundo,Cafundo,Piancó,,0.31,Serra Grande,Paraíba
4975.82,0,31.35,12084,Açude Cacimba,Cacimba,Gar?as,,1.73,Santa Cruz,Pernambuco
9700.78,0,60.18,12099,Açude Capitão Mor,Capitão Mor,Banabuiú,,6,Pedra Branca/Mombaça,Ceará
1635.76,0,9.29,12104,Açude Caraibinhas,Caraibinhas,Complementar,,0.72,Palmeira dos Indios,Alagoas
2171.5,0,7.08,12137,Açude Covão,Covão,Mamanguape,,0.67,Areial,Paraíba
2357.91,0,6.69,12047,Açude Bastiana,Bastiana,Espinharas,,1.27,Teixeira,Paraíba
2122.6,0,11.32,12196,Açude Gavião,Gavião,Médio Paraíba,,1.45,Fagundes,Paraíba
10357.67,0,132.72,12211,Açude Inhumas,Inhumas,Mundau,,7.87,Garanhuns/São João,Pernambuco
978.72,0,7.04,12250,Açude Lagoa do Matias,Lagoa do Matias,Mamanguape,,1.24,Bananeiras,Paraíba
605.65,0,0.92,12467,Açude Travessia,Travessia,São Francisco/Traipu,,0.41,Major Isidoro,Alagoas
2462.88,0,11.72,12461,Açude Tijuquinha,Tijuquinha,Metropolitana,,0.97,Baturité,Ceará
1523.82,0,6.45,12425,Açude São Sebastião,São  Sebastião,Mamanguape,,0.45,Esperança/São Sebastião de Lagoa de Roça,Paraíba
1053.96,0,2.01,12419,Açude São José IV,São José IV,Seridó,,0.55,São José do Sabugi,Paraíba
3924.47,0,17.95,12378,Açude Ribeirópolis,Ribeirópolis,Sergipe,,0.92,Ribeirópolis,Sergipe
1411.39,0,8.45,12373,Açude Riacho de Bode,Riacho de Bode,São Francisco/Ipanema,,1.06,Santana do Ipanema,Alagoas
